time,target,y,error,steer
5.440,0.5000,0.5584,0.5000,-0.1022
5.472,0.5000,0.5587,0.5000,-0.1023
5.504,0.5000,0.5590,0.5000,-0.1024
5.536,0.5000,0.5592,0.5000,-0.1025
5.568,0.5000,0.5595,0.5000,-0.1026
5.600,0.5000,0.5597,0.5000,-0.1026
5.632,0.5000,0.5600,0.5000,-0.1027
5.664,0.5000,0.5602,0.5000,-0.1027
5.696,0.5000,0.5605,0.5000,-0.1028
5.728,0.5000,0.5607,0.5000,-0.1028
5.760,0.5000,0.5609,0.5000,-0.1028
5.792,0.5000,0.5611,0.5000,-0.1028
5.824,0.5000,0.5613,0.5000,-0.1028
5.856,0.5000,0.5615,0.5000,-0.1028
5.888,0.5000,0.5617,0.5000,-0.1028
5.920,0.5000,0.5619,0.5000,-0.1027
5.952,0.5000,0.5621,0.5000,-0.1027
5.984,0.5000,0.5623,0.5000,-0.1026
6.016,0.5000,0.5625,0.5000,-0.1026
6.048,0.5000,0.5626,0.5000,-0.1025
6.080,0.5000,0.5628,0.5000,-0.1024
6.112,0.5000,0.5629,0.5000,-0.1023
6.144,0.5000,0.5631,0.5000,-0.1023
6.176,0.5000,0.5632,0.5000,-0.1021
6.208,0.5000,0.5634,0.5000,-0.1020
6.240,0.5000,0.5635,0.5000,-0.1019
6.272,0.5000,0.5636,0.5000,-0.1018
6.304,0.5000,0.5637,0.5000,-0.1017
6.336,0.5000,0.5639,0.5000,-0.1015
6.368,0.5000,0.5640,0.5000,-0.1014
6.400,0.5000,0.5641,0.5000,-0.1012
6.432,0.5000,0.5641,0.5000,-0.1010
6.464,0.5000,0.5642,0.5000,-0.1008
6.496,0.5000,0.5643,0.5000,-0.1006
6.528,0.5000,0.5644,0.5000,-0.1004
6.560,0.5000,0.5645,0.5000,-0.1002
6.592,0.5000,0.5645,0.5000,-0.1000
6.624,0.5000,0.5646,0.5000,-0.0998
6.656,0.5000,0.5646,0.5000,-0.0995
6.688,0.5000,0.5647,0.5000,-0.0993
6.720,0.5000,0.5647,0.5000,-0.0990
6.752,0.5000,0.5647,0.5000,-0.0987
6.784,0.5000,0.5648,0.5000,-0.0985
6.816,0.5000,0.5648,0.5000,-0.0982
6.848,0.5000,0.5648,0.5000,-0.0979
6.880,0.5000,0.5648,0.5000,-0.0976
6.912,0.5000,0.5648,0.5000,-0.0973
6.944,0.5000,0.5648,0.5000,-0.0970
6.976,0.5000,0.5648,0.5000,-0.0967
7.008,0.5000,0.5648,0.5000,-0.0964
7.040,0.5000,0.5648,0.5000,-0.0960
7.072,0.5000,0.5647,0.5000,-0.0957
7.104,0.5000,0.5647,0.5000,-0.0953
7.136,0.5000,0.5647,0.5000,-0.0950
7.168,0.5000,0.5646,0.5000,-0.0946
7.200,0.5000,0.5646,0.5000,-0.0942
7.232,0.5000,0.5645,0.5000,-0.0939
7.264,0.5000,0.5644,0.5000,-0.0935
7.296,0.5000,0.5644,0.5000,-0.0931
7.328,0.5000,0.5643,0.5000,-0.0927
7.360,0.5000,0.5642,0.5000,-0.0923
7.392,0.5000,0.5641,0.5000,-0.0919
7.424,0.5000,0.5641,0.5000,-0.0914
7.456,0.5000,0.5640,0.5000,-0.0910
7.488,0.5000,0.5639,0.5000,-0.0906
7.520,0.5000,0.5637,0.5000,-0.0901
7.552,0.5000,0.5636,0.5000,-0.0897
7.584,0.5000,0.5635,0.5000,-0.0892
7.616,0.5000,0.5634,0.5000,-0.0888
7.648,0.5000,0.5633,0.5000,-0.0883
7.680,0.5000,0.5631,0.5000,-0.0878
7.712,0.5000,0.5630,0.5000,-0.0873
7.744,0.5000,0.5629,0.5000,-0.0868
7.776,0.5000,0.5627,0.5000,-0.0864
7.808,0.5000,0.5625,0.5000,-0.0858
7.840,0.5000,0.5624,0.5000,-0.0853
7.872,0.5000,0.5622,0.5000,-0.0848
7.904,0.5000,0.5621,0.5000,-0.0843
7.936,0.5000,0.5619,0.5000,-0.0838
7.968,0.5000,0.5617,0.5000,-0.0832
8.000,0.5000,0.5615,0.5000,-0.0827
8.032,0.5000,0.5613,0.5000,-0.0822
8.064,0.5000,0.5611,0.5000,-0.0816
8.096,0.5000,0.5609,0.5000,-0.0811
8.128,0.5000,0.5607,0.5000,-0.0805
8.160,0.5000,0.5605,0.5000,-0.0799
8.192,0.5000,0.5603,0.5000,-0.0794
8.224,0.5000,0.5601,0.5000,-0.0788
8.256,0.5000,0.5599,0.5000,-0.0782
8.288,0.5000,0.5596,0.5000,-0.0776
8.320,0.5000,0.5594,0.5000,-0.0770
8.352,0.5000,0.5591,0.5000,-0.0764
8.384,0.5000,0.5589,0.5000,-0.0758
8.416,0.5000,0.5587,0.5000,-0.0752
8.448,0.5000,0.5584,0.5000,-0.0746
8.480,0.5000,0.5581,0.5000,-0.0740
8.512,0.5000,0.5579,0.5000,-0.0733
8.544,0.5000,0.5576,0.5000,-0.0727
8.576,0.5000,0.5574,0.5000,-0.0721
8.608,0.5000,0.5571,0.5000,-0.0715
8.640,0.5000,0.5568,0.5000,-0.0708
